,Femme,Homme,Age1
00,7,7,4
000,11,8,1
002,1,0,0
007,0,1,0
00h,6,0,0
00h00,2,3,3
00h15,1,0,0
00h20,1,0,0
00h26,1,0,0
00h30,1,0,0
00h40,1,0,0
00h50,1,0,0
01,2,1,1
010,1,0,0
02,6,1,1
025,1,0,0
03,3,0,0
04,5,1,0
04iens,0,1,1
04xxxxxxx,0,1,0
05,4,1,1
06,5,4,3
0668,0,1,1
0687,0,1,1
0688,0,1,1
0689,0,1,1
07,3,0,0
070,1,0,1
07h30,1,0,0
08,3,0,0
08sec,1,0,0
09,1,5,1
0_0,1,0,0
0_o,1,0,0
0a,1,0,0
0ais,2,0,0
0dr,1,0,0
0h,1,0,0
0h30,1,0,0
0ince,1,0,0
0lo,1,0,1
0min,1,0,0
0o,1,0,0
0s,1,0,0
10,242,80,67
100,41,14,10
1000,12,1,0
10000,0,1,0
100000,0,1,0
1000000,0,1,1
1000000000000,2,0,0
1000ans,1,0,0
1000euro,1,0,0
1000fois,1,0,0
1000m,0,1,1
1000msg,1,0,1
100ans,0,1,0
100e,8,0,0
100euro,2,0,0
100g,1,1,0
100km,2,0,0
100m,0,1,1
100ml,3,0,0
100personne,1,0,0
100à1000,1,0,0
101,4,0,3
102,1,0,0
103,7,1,7
106,19,2,1
106ounette,1,0,0
106s,1,0,0
1073e,1,0,0
107cm,1,0,0
1080p,0,1,0
109euros,1,0,0
10aine,1,0,0
10ans,3,1,0
10billets,0,1,1
10cm,0,1,0
10doigts,1,0,0
10e,7,0,0
10em,1,0,0
10eme,1,0,0
10ene,1,0,0
10euro,0,1,0
10eurooooos,1,0,0
10euros,3,1,0
10fois,2,0,2
10groupe,1,0,0
10h,77,25,21
10h00,2,1,0
10h02,0,1,0
10h04,1,0,0
10h05,2,0,0
10h06,1,0,0
10h10,1,1,0
10h15,4,2,0
10h16h,0,1,1
10h20,1,2,2
10h21,1,0,0
10h30,18,1,5
10h33,1,0,0
10h35,1,2,2
10h40,2,1,0
10h40j,1,0,1
10h44,1,0,0
10h45,8,1,1
10heure,1,0,0
10heures,1,0,1
10j,1,0,0
10jour,1,0,1
10jours,4,1,0
10kg,1,0,0
10lignes,1,0,0
10m,1,1,1
10min,41,5,22
10minaperdre,0,1,0
10minutes,3,3,0
10mn,11,0,4
10moi,0,3,0
10novembre,1,0,0
10pers,1,0,0
10pompes,0,1,0
10sec,1,0,0
10séance,1,0,1
10x,6,0,0
10é,1,0,0
11,76,32,31
110,2,0,1
111,1,0,0
111111111,1,0,0
112,2,0,1
112cm,1,0,0
113,1,0,0
1135,1,0,0
1138,0,1,0
114,1,0,0
114km,1,0,0
115,1,0,0
117,1,0,1
11degrés,1,0,0
11e,1,0,0
11h,69,15,19
11h00,1,0,0
11h05,2,1,0
11h07,1,0,1
11h10,0,2,2
11h11,2,1,0
11h15,16,2,0
11h18,1,0,0
11h20,6,3,5
11h22,0,1,1
11h30,24,7,8
11h40,2,0,0
11h45,6,1,0
11h50,1,1,0
11h55,1,1,1
11h58,1,0,0
11het,1,0,0
11jours,1,0,0
11nov,0,1,1
11novembre,2,0,0
11pm,0,1,0
11secondes,0,1,0
11à,1,0,1
12,124,30,29
120,5,2,3
1200,2,1,1
1200m,0,1,0
121,3,0,3
122449,0,1,1
123,2,0,0
1238,0,1,1
123e,2,0,0
125,2,1,0
126,2,0,0
129,1,0,0
12ans,1,0,1
12euros,1,0,0
12h,56,25,20
12h00,0,2,0
12h04,2,0,0
12h05,1,0,0
12h06,1,0,0
12h09,0,1,0
12h10,1,0,0
12h15,10,4,1
12h19,0,3,0
12h20,1,0,0
12h23,1,0,1
12h30,32,14,8
12h40,3,0,1
12h45,12,4,1
12h45à14h15,1,0,0
12h50,1,0,0
12h55,6,0,0
12h58,1,0,0
12he,1,0,0
12heure30,0,1,1
12heures,1,0,0
12livres,1,0,0
12min,1,0,1
12oct,1,0,0
12sec,1,0,0
13,75,25,22
130,4,0,0
1300,2,0,0
1300e,1,0,0
1303,1,0,0
130e,1,0,0
130k,0,1,0
132,1,0,1
1320,0,1,1
134,0,1,1
135,0,1,0
136,1,0,0
1365e,1,0,0
138,1,0,0
139,1,0,0
13décembre,1,0,0
13e,1,2,0
13eme,1,0,0
13eur,1,0,1
13h,55,37,15
13h06,1,0,0
13h13,1,0,0
13h15,16,2,2
13h20,3,1,1
13h25,0,1,0
