,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
00,7,7,4,0,0,0,1,9
000,11,8,1,4,1,4,5,4
002,1,0,0,0,0,1,0,0
007,0,1,0,0,0,1,0,0
00h,6,0,0,1,0,2,3,0
00h00,2,3,3,0,0,1,0,1
00h15,1,0,0,0,0,0,1,0
00h20,1,0,0,0,1,0,0,0
00h26,1,0,0,0,0,0,0,1
00h30,1,0,0,0,0,0,1,0
00h40,1,0,0,0,0,0,0,1
00h50,1,0,0,1,0,0,0,0
01,2,1,1,0,0,1,0,1
010,1,0,0,1,0,0,0,0
02,6,1,1,1,0,1,0,4
025,1,0,0,1,0,0,0,0
03,3,0,0,3,0,0,0,0
04,5,1,0,2,0,2,0,2
04iens,0,1,1,0,0,0,0,0
04xxxxxxx,0,1,0,0,0,0,0,1
05,4,1,1,1,1,0,1,1
06,5,4,3,0,0,3,0,3
0668,0,1,1,0,0,0,0,0
0687,0,1,1,0,0,0,0,0
0688,0,1,1,0,0,0,0,0
0689,0,1,1,0,0,0,0,0
07,3,0,0,0,0,0,0,3
070,1,0,1,0,0,0,0,0
07h30,1,0,0,0,0,0,0,1
08,3,0,0,1,0,1,0,1
08sec,1,0,0,1,0,0,0,0
09,1,5,1,0,0,1,1,3
0_0,1,0,0,0,0,0,0,1
0_o,1,0,0,0,0,0,0,1
0a,1,0,0,0,0,0,1,0
0ais,2,0,0,0,0,2,0,0
0dr,1,0,0,0,0,1,0,0
0h,1,0,0,0,0,1,0,0
0h30,1,0,0,0,0,1,0,0
0ince,1,0,0,0,0,1,0,0
0lo,1,0,1,0,0,0,0,0
0min,1,0,0,1,0,0,0,0
0o,1,0,0,0,1,0,0,0
0s,1,0,0,1,0,0,0,0
10,242,80,67,77,34,46,35,63
100,41,14,10,15,7,8,5,10
1000,12,1,0,5,2,1,1,4
10000,0,1,0,0,0,0,1,0
100000,0,1,0,0,0,0,1,0
1000000,0,1,1,0,0,0,0,0
1000000000000,2,0,0,0,0,0,2,0
1000ans,1,0,0,0,0,0,1,0
1000euro,1,0,0,0,0,0,1,0
1000fois,1,0,0,0,0,0,1,0
1000m,0,1,1,0,0,0,0,0
1000msg,1,0,1,0,0,0,0,0
100ans,0,1,0,0,1,0,0,0
100e,8,0,0,0,2,4,2,0
100euro,2,0,0,0,0,0,2,0
100g,1,1,0,0,1,0,0,1
100km,2,0,0,0,0,2,0,0
100m,0,1,1,0,0,0,0,0
100ml,3,0,0,0,0,0,3,0
100personne,1,0,0,0,0,0,1,0
100à1000,1,0,0,0,0,0,0,1
101,4,0,3,0,0,0,0,1
102,1,0,0,0,0,0,0,1
103,7,1,7,0,1,0,0,0
106,19,2,1,0,1,13,5,1
106ounette,1,0,0,0,0,1,0,0
106s,1,0,0,0,0,1,0,0
1073e,1,0,0,0,0,0,1,0
107cm,1,0,0,0,0,0,1,0
1080p,0,1,0,0,1,0,0,0
109euros,1,0,0,0,0,1,0,0
10aine,1,0,0,0,0,1,0,0
10ans,3,1,0,1,2,0,1,0
10billets,0,1,1,0,0,0,0,0
10cm,0,1,0,0,0,0,0,1
10doigts,1,0,0,1,0,0,0,0
10e,7,0,0,0,0,2,4,1
10em,1,0,0,0,0,0,1,0
10eme,1,0,0,0,0,0,0,1
10ene,1,0,0,0,0,0,0,1
10euro,0,1,0,0,0,0,0,1
10eurooooos,1,0,0,0,0,1,0,0
10euros,3,1,0,2,1,1,0,0
10fois,2,0,2,0,0,0,0,0
10groupe,1,0,0,0,0,0,1,0
10h,77,25,21,16,11,23,14,17
10h00,2,1,0,0,0,0,0,3
10h02,0,1,0,0,0,0,0,1
10h04,1,0,0,0,0,1,0,0
10h05,2,0,0,1,0,1,0,0
10h06,1,0,0,1,0,0,0,0
10h10,1,1,0,0,0,1,1,0
10h15,4,2,0,0,2,2,1,1
10h16h,0,1,1,0,0,0,0,0
10h20,1,2,2,1,0,0,0,0
10h21,1,0,0,0,1,0,0,0
10h30,18,1,5,3,3,4,1,3
10h33,1,0,0,0,1,0,0,0
10h35,1,2,2,1,0,0,0,0
10h40,2,1,0,0,0,0,2,1
10h40j,1,0,1,0,0,0,0,0
10h44,1,0,0,0,0,0,0,1
10h45,8,1,1,2,0,2,1,3
10heure,1,0,0,0,0,0,0,1
10heures,1,0,1,0,0,0,0,0
10j,1,0,0,0,1,0,0,0
10jour,1,0,1,0,0,0,0,0
