AGE;ID_NUM_TEL;SEXE;NIVEAU_SUPERIEUR_CHOIX;TYPE_TELEPHONE;ABONNEMENT_ILLIMITE;TEMPS_UTILISATION_SMS;ENVOI_SMS_SEMAINE;UTILISATION_T9;DESTINATAIRE_AMIS;DESTINATAIRE_COLLEGUES;DESTINATAIRE_FAMILLE;DESTINATAIRE_COMPAGNON;DUREE_LECTURE
16;202;Femme;lycee;classique;non;1 a 3;moins de 5;non;5;3;4;0;4,19
11;401;Homme;college;autre;oui;moins de 1;20 a 50;non;6;0;1;0;5,24
15;290;Homme;college;blackberry;non;1 a 3;plus de 100;oui;6;0;6;6;3,14
12;271;Homme;college;blackberry;oui;1 a 3;plus de 100;non;5;0;2;6;1,05
14;75;Femme;college;blackberry;oui;plus de 5;plus de 100;non;6;0;2;0;6,29
17;313;Homme;lycee;iphone;oui;3 a 5;50 a 100;non;6;5;3;6;3,14
51;233;Femme;cap_bep;blackberry;non;plus de 5;10 a 20;non;5;0;6;0;4,19
17;240;Homme;lycee;classique;oui;1 a 3;plus de 100;oui;6;6;2;6;3,14
41;470;Femme;cap_bep;iphone;non;plus de 5;20 a 50;oui;5;6;6;6;6,29
40;377;Femme;lycee;iphone;oui;plus de 5;50 a 100;oui;5;2;5;1;0,00
63;337;Homme;lycee;classique;oui;3 a 5;moins de 5;oui;2;0;4;0;3,14
40;148;Femme;lycee;classique;oui;plus de 5;5 a 10;non;3;0;5;5;6,29
33;405;Homme;cap_bep;iphone;oui;plus de 5;20 a 50;non;6;2;2;6;5,24
35;364;Homme;lycee;iphone;oui;plus de 5;50 a 100;oui;4;3;5;6;3,14
62;306;Homme;lycee;iphone;oui;plus de 5;10 a 20;non;0;0;6;0;1,05
22;97;Homme;cap_bep;iphone;oui;plus de 5;10 a 20;non;6;5;0;6;9,43
33;39;Femme;lycee;iphone;oui;plus de 5;5 a 10;non;2;0;1;3;3,14
42;18;Homme;lycee;iphone;oui;moins de 1;moins de 5;oui;4;0;6;5;4,19
32;59;Homme;cap_bep;iphone;oui;plus de 5;10 a 20;oui;6;1;1;6;4,19
42;160;Homme;cap_bep;iphone;oui;plus de 5;20 a 50;oui;5;4;1;1;2,10
18;316;Homme;lycee;iphone;oui;plus de 5;20 a 50;oui;6;0;2;0;6,29
24;42;Femme;lycee;iphone;oui;plus de 5;20 a 50;non;6;3;4;6;3,14
43;41;Femme;lycee;iphone;oui;plus de 5;50 a 100;oui;6;6;5;4;2,10
30;150;Femme;lycee;classique;oui;3 a 5;10 a 20;non;4;1;6;5;5,24
33;262;Femme;lycee;iphone;oui;plus de 5;plus de 100;oui;6;2;2;0;2,10
17;9;Femme;lycee;iphone;oui;plus de 5;plus de 100;oui;6;3;5;0;8,38
13;126;Femme;college;classique;oui;moins de 1;50 a 100;oui;6;0;1;0;4,19
21;309;Homme;cap_bep;iphone;oui;plus de 5;20 a 50;non;5;3;4;3;3,14
45;315;Femme;cap_bep;iphone;oui;plus de 5;10 a 20;oui;4;1;5;6;4,19
43;10;Femme;cap_bep;iphone;oui;3 a 5;10 a 20;non;4;1;5;5;4,19
16;166;Homme;lycee;iphone;oui;1 a 3;20 a 50;oui;2;0;4;6;4,19
28;120;Femme;cap_bep;classique;oui;plus de 5;20 a 50;non;3;1;6;6;3,14
51;469;Femme;cap_bep;blackberry;oui;plus de 5;50 a 100;non;5;0;6;0;4,19
17;281;Homme;lycee;classique;oui;1 a 3;20 a 50;non;5;0;1;0;5,24
18;252;Homme;lycee;iphone;oui;plus de 5;20 a 50;non;5;1;4;0;3,14
17;389;Femme;lycee;blackberry;oui;3 a 5;20 a 50;non;2;0;2;6;7,33
14;239;Femme;college;blackberry;non;moins de 1;plus de 100;non;5;0;2;6;4,19
15;395;Femme;lycee;blackberry;oui;3 a 5;plus de 100;oui;5;0;4;6;4,19
16;21;Homme;lycee;classique;oui;1 a 3;50 a 100;non;6;0;5;4;5,24
13;57;Femme;college;blackberry;non;plus de 5;50 a 100;non;6;0;3;5;0,00
17;7;Femme;lycee;blackberry;oui;1 a 3;50 a 100;non;6;3;1;0;4,19
16;431;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;4;0;2,10
17;195;Femme;lycee;blackberry;oui;3 a 5;plus de 100;non;6;0;2;3;3,14
16;15;Homme;lycee;blackberry;oui;1 a 3;50 a 100;non;6;0;3;0;5,24
16;293;Homme;lycee;classique;oui;moins de 1;20 a 50;oui;5;0;3;6;4,19
15;333;Homme;lycee;iphone;oui;1 a 3;plus de 100;non;5;0;0;6;6,29
15;170;Homme;lycee;iphone;oui;3 a 5;10 a 20;non;6;3;4;5;4,19
15;91;Homme;lycee;autre;oui;plus de 5;plus de 100;non;6;0;5;0;13,62
18;447;Femme;lycee;iphone;oui;plus de 5;50 a 100;non;4;0;2;6;4,19
14;467;Femme;college;iphone;oui;1 a 3;20 a 50;non;6;2;1;0;9,43
15;384;Femme;lycee;blackberry;oui;1 a 3;50 a 100;oui;6;0;4;0;4,19
16;489;Femme;lycee;iphone;oui;3 a 5;plus de 100;oui;5;3;2;6;3,14
15;471;Homme;lycee;blackberry;oui;moins de 1;plus de 100;non;5;0;3;0;3,14
16;348;Homme;lycee;blackberry;oui;3 a 5;50 a 100;non;6;0;4;5;2,10
29;81;Homme;college;iphone;oui;plus de 5;50 a 100;non;4;0;6;6;5,24
15;215;Femme;lycee;classique;oui;moins de 1;plus de 100;non;6;0;4;0;2,10
15;214;Femme;lycee;classique;oui;1 a 3;50 a 100;non;6;0;4;0;0,00
17;191;Femme;lycee;blackberry;oui;3 a 5;plus de 100;non;6;0;5;0;2,10
16;77;Femme;lycee;iphone;oui;plus de 5;50 a 100;non;6;0;2;0;3,14
14;448;Femme;college;classique;oui;1 a 3;plus de 100;non;6;0;4;0;5,24
13;261;Homme;college;iphone;oui;1 a 3;10 a 20;non;5;0;4;0;7,33
15;111;Femme;lycee;classique;oui;moins de 1;plus de 100;oui;6;6;2;0;3,14
13;8;Femme;college;iphone;oui;1 a 3;plus de 100;oui;6;0;1;0;5,24
17;235;Femme;lycee;iphone;oui;1 a 3;plus de 100;non;6;1;1;0;4,19
52;32;Femme;lycee;classique;non;3 a 5;moins de 5;non;1;0;6;0;2,10
15;454;Homme;lycee;iphone;oui;1 a 3;20 a 50;oui;6;0;5;0;4,19
16;218;Homme;lycee;classique;non;1 a 3;10 a 20;oui;6;5;2;0;4,19
15;418;Homme;lycee;classique;oui;moins de 1;20 a 50;non;6;0;1;0;1,05
15;296;Femme;lycee;iphone;non;1 a 3;10 a 20;non;6;1;3;0;4,19
17;411;Femme;lycee;classique;oui;3 a 5;plus de 100;oui;5;0;2;6;5,24
15;149;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;0;6,29
16;390;Homme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;4;2,10
15;425;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;0;3;0;5,24
15;11;Femme;lycee;iphone;oui;3 a 5;plus de 100;oui;6;4;1;0;6,29
13;165;Femme;college;autre;oui;1 a 3;plus de 100;non;6;0;2;0;5,24
11;192;Femme;college;blackberry;oui;moins de 1;5 a 10;non;5;0;1;0;2,10
