DATETIME,QUESTIONNAIRE_TYPE,AGE,ID_NUMERO_TEL,SEXE_MASC,SEXE_FEM,SEXE_COMMENT,HANDICAP,HANDICAP_SOURD,HANDICAP_DEFICIENT_AUDITIF,HANDICAP_AVEUGLE,HANDICAP_DEFICIENT_VISUEL,HANDICAP_MOTEUR,HANDICAP_AUTRE,HANDICAP_AUTRE_COMMENT,LANGUE_COURANTE_1,LANGUE_COURANTE_2,LANGUE_COURANTE_3,LANGUE_COURANTE_4,LANGUE_FREQUENTE_1,LANGUE_FREQUENTE_2,LANGUE_FREQUENTE_3,LANGUE_FREQUENTE_4,LANGUE_MATERNELLE_1,LANGUE_MATERNELLE_2,LANGUE_MATERNELLE_3,LANGUE_MATERNELLE_4,NIVEAU_ETUDE,NIVEAU_SECONDAIRE_CHOIX,NIVEAU_SUPERIEUR_CHOIX,PROFESSION_ADMINISTRATION,PROFESSION_AGRICULTURE_VITICULTURE,PROFESSION_ARTISANAT,PROFESSION_CADRE,PROFESSION_COMMERCE,PROFESSION_ELEVE_ETUDIANT,PROFESSION_EMPLOYE_OUVRIER,PROFESSION_ENSEIGNEMENT,PROFESSION_METIERS_SANTE,PROFESSION_METIERS_SPECTACLE,PROFESSION_PROFESSION_LIBERALE,PROFESSION_RETRAITE,PROFESSION_SANS_ACTIVITE_PROFESSIONNELLE,PROFESSION_METIER_AUTRE,PROFESSION_ENSEIGNEMENT_CHOIX,PROFESSION_METIER_AUTRE_COMMENT,CODE_POSTAL,DUREE_VIE_DPT,TYPE_TELEPHONE,TYPE_TELEPHONE_AUTRE_COMMENT,ABONNEMENT_ILLIMITE,TEMPS_UTILISATION_SMS,ENVOI_SMS_SEMAINE,RECEPTION_SMS_SEMAINE,UTILISATION_T9,DESTINATAIRE_AMIS,DESTINATAIRE_COLLEGUES,DESTINATAIRE_FAMILLE,DESTINATAIRE_COMPAGNON,DESTINATAIRE_CONCOURS,DESTINATAIRE_AUTRE,DESTINATAIRE_AUTRE_COMMENT,REDACTION_SMS,UTILISATION_CHAT,UTILISATION_FORUM,UTILISATION_COURRIER_ELECTRONIQUE,UTILISATION_RESEAUX_SOCIAUX,UTILISATION_AUTRE,UTILISATION_AUTRE_COMMENT,RAISON_REDAC_SMS_PRIX,RAISON_REDAC_SMS_DERANGER,RAISON_REDAC_SMS_ALLER_VITE,RAISON_REDAC_SMS_AIME_PAS_TELEPHONER,RAISON_REDAC_SMS_AUTRE,RAISON_REDAC_SMS_AUTRE_COMMENT,RAISON_ECRITURE_SMS_RAPIDE,RAISON_ECRITURE_SMS_JOUER_LANGUE,RAISON_ECRITURE_SMS_COMPLICITE,RAISON_ECRITURE_SMS_AUTRE,RAISON_ECRITURE_SMS_AUTRE_COMMENT,APPORT_ECRITURE_SMS,AVENIR_SMS,CODE_MIXING,LANGUE_MIXING_1,LANGUE_MIXING_2,LANGUE_MIXING_3,LANGUE_MIXING_4,CODE_SWITCHING,LANGUE_SWITCHING_1,LANGUE_SWITCHING_2,LANGUE_SWITCHING_3,LANGUE_SWITCHING_4,COMPREHENSION_ECRITURE_SMS,SOUVENIR_SMS,DUREE_LECTURE,DUREE_LECTURE_REEL,TYPE_LECTURE_JOURNAL,TYPE_LECTURE_BD,TYPE_LECTURE_WEB,TYPE_LECTURE_LIVRES,TYPE_LECTURE_AUTRE,TYPE_LECTURE_AUTRE_COMMENT,ECRITURE_PAPIER,TYPE_ECRITURE_COURSES,TYPE_ECRITURE_COURRIER,TYPE_ECRITURE_JOURNAL,TYPE_ECRITURE_PETITS_MOTS,TYPE_ECRITURE_NOTES_PRO,TYPE_ECRITURE_AUTRE,TYPE_ECRITURE_AUTRE_COMMENT,ECRITURE_FREQ
2011-09-15 07:20:10,consentement+questionnaire,19,477,,1,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,30340,,blackberry,,oui,plus de 5,20 a 50,10 a 20,non,6,0,5,6,0,0,,redaction_ortho_standard,jamais,rarement,souvent,souvent,,,0,0,0,1,0,,0,0,0,0,,On ne sait jamais ce que pense réellement le destinataire.,De plus en plus!,non,,,,,non,,,,,oui_mais,francais_standard,2.0952380952380953,1,1,0,1,1,0,,oui,1,0,0,0,1,0,,tres_souvent
2011-09-15 08:13:37,consentement+questionnaire,11,401,1,,,0,0,0,0,0,0,0,,fre,eng,,,fre,eng,,,fre,eng,,,niveau_secondaire,college,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34070,,autre,Samsung Wave 575 (tactile),oui,moins de 1,20 a 50,20 a 50,non,6,0,1,0,0,0,,redaction_melange,parfois,rarement,jamais,parfois,,,1,0,1,0,0,,1,1,0,0,,,Oui.,non,,,,,oui,fre,eng,,,oui,ecriture_sms,5.238095238095238,4,0,1,1,1,0,,oui,0,0,0,0,1,0,,tres_souvent
2011-09-15 08:23:12,consentement+questionnaire,43,24,1,,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_primaire,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,43120,,classique,,non,plus de 5,5 a 10,moins de 5,non,3,0,2,0,6,0,,redaction_ecriture_sms,jamais,parfois,tres_souvent,rarement,,,0,0,0,1,0,,1,0,0,0,,on ecrit en abrégé avec des fautes,avenir prometeur,non,,,,,non,,,,,non,francais_standard,1.0476190476190476,0.5,1,0,0,0,0,,oui,0,1,0,0,0,0,,parfois
2011-09-15 08:40:45,consentement+questionnaire,19,254,,1,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34096,2,autre,vietnamien,oui,plus de 5,plus de 100,plus de 100,non,5,4,4,6,0,0,,redaction_melange,jamais,jamais,tres_souvent,jamais,,,1,0,0,0,0,,0,0,0,0,,"Inconvénients: il peut y avoir des quiproquos, et l'écriture SMS peut varier d'une personne à l'autre, et dans certains cas c'est une lecture encore moins rapide qu'avec une standard. Je pense que l'écriture SMS est rapide pour celui qui écrit seulement","Oui et non. Les sms serviront toujours pour tenir au courant alors que la situation ne permet pas de téléphoner. Mais plus ça va et plus les appels illimités font surface, même si ça reste encore assez cher à mon goût, je préférerai appeler mes proches pour par exemple se retrouver quelque part, expliquer quelque chose de compliquer, un appel est beaucoup plus simple. Pour les personnes de nature timide ou autre, les SMS permettent aussi de moins assumer je dirai...",oui,fre,eng,,,non,,,,,oui_mais,pas_opinion,5.238095238095238,4,0,0,1,1,1,magazine,oui,1,1,0,1,1,0,,souvent
2011-09-15 08:50:19,consentement+questionnaire,54,450,,1,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,30120,15,classique,,non,plus de 5,moins de 5,5 a 10,non,2,4,0,0,0,0,,redaction_ortho_standard,jamais,jamais,tres_souvent,jamais,,,0,1,0,0,0,,0,0,0,0,,"Avantage : rapidité.
Inconvénient : réduction des nuances d'expression et de pensée ","Je ne le pense pas. Les communications s'accélérant, la tentation est de réduire et de concentrer les contenus.",non,,,,,non,,,,,oui_mais,francais_standard,8.380952380952381,7,1,0,1,1,1,manuscrits pour l'édition,oui,1,0,0,0,1,0,,souvent
2011-09-15 09:13:52,consentement+questionnaire,20,151,,1,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,30000,,classique,,oui,plus de 5,20 a 50,20 a 50,oui,6,1,3,0,0,0,,redaction_ortho_standard,jamais,jamais,rarement,rarement,,,0,0,0,1,0,,1,0,0,0,,L’inconvénient de l'écriture SMS est sans conteste la perte du niveau de l'orthographe. On ne sait plus écrire comme il se doit. ,"Les SMS seront toujours utilisé, mais je ne penses pas que l'écriture SMS, elle, se conserve, notamment grâce au T9 ou autres correcteur d'orthographe.  ",non,,,,,non,,,,,oui_mais,francais_standard,4.190476190476191,3,0,1,1,1,0,,oui,0,0,1,0,1,1,écriture pour écrire une histoire,tres_souvent
2011-09-15 09:00:02,consentement+questionnaire,15,290,1,,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_secondaire,college,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34090,12,blackberry,,non,1 a 3,plus de 100,plus de 100,oui,6,0,6,6,0,0,,redaction_melange,jamais,jamais,parfois,tres_souvent,,,1,0,1,0,0,,1,0,0,0,,"avantage: ça va vite
inconvénient:on s'enmèle les pinceaux parfois !","oui, car moyen simple de communiquer",non,,,,,non,,,,,oui,francais_standard,3.142857142857143,2,1,0,1,1,0,,oui,1,0,0,0,0,0,,souvent
2011-09-15 09:29:26,consentement+questionnaire,30,462,,1,,0,0,0,0,0,0,0,,fre,eng,,,fre,eng,,,fre,,,,niveau_superieur,,bac_5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,superieur,,38410,,iphone,,oui,plus de 5,5 a 10,5 a 10,oui,6,0,5,0,0,0,,redaction_melange,tres_souvent,rarement,tres_souvent,tres_souvent,,,0,0,0,1,0,,1,0,0,0,,,,non,,,,,oui,eng,fre,,,oui_mais,pas_opinion,3.142857142857143,2,0,0,0,1,1,articles scientifiques,oui,1,0,0,1,1,0,,souvent
2011-09-15 10:08:20,consentement+questionnaire,19,437,1,,,0,0,0,0,0,0,0,,fre,,,,fre,eng,,,fre,,,,niveau_superieur,,bac_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,34090,,classique,,oui,3 a 5,20 a 50,20 a 50,non,5,1,0,6,0,0,,redaction_melange,rarement,rarement,tres_souvent,souvent,,,1,1,0,0,0,,1,0,0,0,,"inconvénients : les gens font de plus en plus de fautes d'orthographes

avantages : rédaction rapide du message",oui,oui,eng,fre,,,non,,,,,oui_mais,francais_standard,4.190476190476191,3,1,1,1,1,0,,oui,1,1,0,1,1,1,E.Mail,tres_souvent
2011-09-15 10:37:45,consentement+questionnaire,20,88,,1,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34090,3,blackberry,,oui,plus de 5,20 a 50,20 a 50,non,5,2,1,4,0,0,,redaction_melange,jamais,parfois,parfois,parfois,,,0,0,1,0,0,,1,0,0,0,,"avantage: rapidité
inconvénients: pas sérieux et on finit par oublier l’orthographe du mot","oui: c'est rapide, sa permet d'avoir un renseignement déjà noté plutôt que de prendre des notes au téléphone.",non,,,,,non,,,,,oui_mais,francais_standard,3.142857142857143,2,0,0,0,1,0,,oui,1,1,0,1,1,1,poésie,souvent
2011-09-15 10:54:26,consentement,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-15 10:48:56,consentement+questionnaire,20,353,,1,,0,0,0,0,0,0,0,,fre,eng,rus,ita,fre,eng,rus,,fre,,,,niveau_superieur,,bac_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34000,4,blackberry,,oui,plus de 5,plus de 100,50 a 100,non,6,4,5,6,0,0,,redaction_melange,parfois,jamais,tres_souvent,tres_souvent,,,0,1,1,1,0,,1,0,0,0,,Ils sont très pratiques car ils me permettent de faire passer un message sans déranger la personne. On doit répondre tout de suite (plus ou moins ) à un appel alors que nous pouvons répondre aux sms quand nous voulons.,"Oui, ils sont nettement plus pratiques que les appels si l'on a un message rapide à faire passer",oui,fre,eng,rus,,oui,fre,eng,,,oui_mais,pas_opinion,5.238095238095238,4,1,1,1,1,0,,oui,0,1,1,1,1,0,,tres_souvent
2011-09-15 11:36:17,consentement+questionnaire,21,398,1,,,0,0,0,0,0,0,0,,fre,,,,fre,,,,fre,,,,niveau_superieur,,bac_5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,34070,5,iphone,,oui,plus de 5,50 a 100,50 a 100,non,6,4,4,6,0,0,,redaction_soit_soit,jamais,jamais,tres_souvent,parfois,,,0,1,1,0,0,,0,0,0,0,,"Avantages : pas vraiment
Inconvénients : de mauvais réflexes qui se répercuteront dans la pauvreté du langage oral et/ou rédactionnel. ","Oui, les forfaits illimités sms quasi-obligatoires chez tous les opérateurs laissent présager d'un avenir certain pour le sms. De plus, le sms dans les forfaits opérateurs présente une évolution ininterrompue (jusqu'à l'illimité total)",oui,fre,eng,,,oui,fre,eng,,,oui_mais,francais_standard,3.142857142857143,2,1,0,1,1,0,,non,0,0,0,0,0,0,,
2011-09-15 12:02:58,consentement,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
